endpoint,condition,model,point_auroc,boot_mean,boot_sd,ci95_low,ci95_high,n_boot_valid
transmittance450plus,only_xtb3,xgboost,0.6458064286964751,0.6459582176853371,0.019390857679536112,0.606128153694782,0.6820444200750712,1000
transmittance450plus,only_QM9,xgboost,0.5525242544961477,0.5525347073669741,0.020257953492321193,0.5158015757339393,0.594833501615419,1000
transmittance450plus,only_dyesChromophores,xgboost,0.5549178987978498,0.554939673417752,0.020093983873792645,0.5151233142371496,0.5940634884638699,1000
transmittance450plus,only_dyesSimMurcko,xgboost,0.535810970241463,0.5357756743343652,0.01963912759078733,0.4988823499284226,0.5734317198164279,1000
transmittance450plus,only_pred_all,xgboost,0.6645795373858316,0.6645729878854044,0.018600663330303566,0.6271732246500396,0.6994865219828686,1000
transmittance450plus,full,catboost,0.700949773702026,0.7005318814128775,0.018343466043938782,0.6638805169495646,0.7349523244037651,1000
transmittance450plus,drop_pred_fluo340,catboost,0.7009376315027367,0.7008747321079605,0.01933550876102461,0.6643761556787752,0.7364088992977283,1000
transmittance450plus,drop_pred_trans340,catboost,0.6664070289923099,0.6668464417842556,0.02006357345424247,0.6267240163672352,0.7040461742144725,1000
transmittance450plus,drop_RDkitFP-RDKit,catboost,0.6959856076880782,0.6959520714032473,0.018744421874373474,0.6592861633509435,0.7317575267961914,1000
transmittance450plus,drop_RDKit2D,catboost,0.7094333652413417,0.7099587911765881,0.01781225857225119,0.6758857818545373,0.7431588851857565,1000
transmittance450plus,drop_xtb3,catboost,0.6802641780111658,0.6805597139538332,0.01876344818229443,0.6411379617682166,0.7160704746946628,1000
transmittance450plus,drop_QM9,catboost,0.697937058463421,0.6982892786214975,0.018882612860426428,0.6620177127355465,0.7337529790259226,1000
transmittance450plus,drop_dyesChromophores,catboost,0.6951142689689244,0.6956962307103142,0.018080144670556395,0.6603763155598352,0.7311176437426676,1000
transmittance450plus,drop_dyesSimMurcko,catboost,0.711522185972824,0.7116127400294626,0.018251868053959234,0.6752970131631983,0.746995350215279,1000
transmittance450plus,drop_pred_all,catboost,0.6775173225689415,0.6779347912793905,0.019302063331169583,0.6391341940958303,0.7159313846887,1000
transmittance450plus,only_pred_fluo340,catboost,0.5443260952535599,0.5434807728945558,0.02143793513232748,0.5008234171575854,0.5844783873136253,1000
transmittance450plus,only_pred_trans340,catboost,0.6624017342685122,0.662786648807679,0.018053974258566998,0.6279593783904944,0.6982706288296315,1000
transmittance450plus,only_RDkitFP-RDKit,catboost,0.6392933167522843,0.6396561230773019,0.020742614361293907,0.598941090275557,0.6796771652466648,1000
transmittance450plus,only_RDKit2D,catboost,0.6280193753255287,0.6283592065077049,0.02102056426104162,0.5857951723413882,0.6706467707489505,1000
transmittance450plus,only_xtb3,catboost,0.6497829083503173,0.6500402162526451,0.019256502079404766,0.6106683565086148,0.6845467359116232,1000
transmittance450plus,only_QM9,catboost,0.555785069299337,0.5558640195942559,0.020628910463579477,0.5162332224252097,0.595146151104197,1000
transmittance450plus,only_dyesChromophores,catboost,0.5592267485038818,0.5592831761481221,0.020000526170887312,0.520254327958338,0.5990419332234895,1000
transmittance450plus,only_dyesSimMurcko,catboost,0.5383592010505358,0.538314051368875,0.019070608566990922,0.5021697138347537,0.5755604217517,1000
transmittance450plus,only_pred_all,catboost,0.6617326447196112,0.6619502367136538,0.0185300861570942,0.6245113033326126,0.6990654565382468,1000
